attendance_id,student_id,course_code,date,status,hours_present,total_hours,notes
118,UJ2024003,ENG2611,2024-04-04,PRESENT,2.8,2.8,Class 10
119,UJ2024003,ENG2611,2024-04-11,ABSENT,0,2.9,Class 11
120,UJ2024003,APM1513,2024-02-01,PRESENT,2.7,2.7,Class 1
121,UJ2024003,APM1513,2024-02-08,LATE,2.3,3.0,Class 2
122,UJ2024003,APM1513,2024-02-15,PRESENT,2.8,2.8,Class 3
123,UJ2024003,APM1513,2024-02-22,PRESENT,2.5,2.5,Class 4
124,UJ2024003,APM1513,2024-02-29,PRESENT,2.9,2.9,Class 5
125,UJ2024003,APM1513,2024-03-07,PRESENT,2.1,2.1,Class 6
126,UJ2024003,APM1513,2024-03-14,PRESENT,2.6,2.6,Class 7
127,UJ2024003,APM1513,2024-03-21,ABSENT,0,2.6,Class 8
128,UJ2024003,APM1513,2024-03-28,PRESENT,2.7,2.7,Class 9
129,UJ2024003,APM1513,2024-04-04,PRESENT,2.0,2.0,Class 10
130,UJ2024003,ARC1511,2024-02-01,PRESENT,2.9,2.9,Class 1
131,UJ2024003,ARC1511,2024-02-08,ABSENT,0,2.5,Class 2
132,UJ2024003,ARC1511,2024-02-15,PRESENT,2.1,2.1,Class 3
133,UJ2024003,ARC1511,2024-02-22,PRESENT,2.3,2.3,Class 4
134,UJ2024003,ARC1511,2024-02-29,PRESENT,2.2,2.2,Class 5
135,UJ2024003,ARC1511,2024-03-07,PRESENT,2.9,2.9,Class 6
136,UJ2024003,ARC1511,2024-03-14,PRESENT,2.6,2.6,Class 7
137,UJ2024003,ARC1511,2024-03-21,ABSENT,0,2.0,Class 8
138,UJ2024003,ARC1511,2024-03-28,ABSENT,0,2.9,Class 9
139,UJ2024003,ARC1511,2024-04-04,PRESENT,2.3,2.3,Class 10
140,UJ2024003,ARC1511,2024-04-11,PRESENT,2.9,2.9,Class 11
141,UJ2024003,ARC1511,2024-04-18,PRESENT,2.3,2.3,Class 12
142,UJ2024003,ARC1511,2024-04-25,PRESENT,2.9,2.9,Class 13
143,UJ2024003,ARC1511,2024-05-02,PRESENT,2.2,2.2,Class 14
144,UJ2024003,ART2611,2024-02-01,PRESENT,2.2,2.2,Class 1
145,UJ2024003,ART2611,2024-02-08,PRESENT,2.1,2.1,Class 2
146,UJ2024003,ART2611,2024-02-15,PRESENT,2.7,2.7,Class 3
147,UJ2024003,ART2611,2024-02-22,PRESENT,2.0,2.0,Class 4
148,UJ2024003,ART2611,2024-02-29,PRESENT,2.8,2.8,Class 5
149,UJ2024003,ART2611,2024-03-07,PRESENT,2.2,2.2,Class 6
150,UJ2024003,ART2611,2024-03-14,PRESENT,2.7,2.7,Class 7
151,UJ2024003,ART2611,2024-03-21,PRESENT,2.8,2.8,Class 8
152,UJ2024003,ART2611,2024-03-28,PRESENT,2.6,2.6,Class 9
153,UJ2024003,ART2611,2024-04-04,PRESENT,2.4,2.4,Class 10
154,UJ2024003,ART2611,2024-04-11,ABSENT,0,2.6,Class 11
155,UJ2024003,ART2611,2024-04-18,ABSENT,0,2.4,Class 12
156,UJ2024003,ART2611,2024-04-25,ABSENT,0,2.0,Class 13
157,UJ2024003,ART2611,2024-05-02,ABSENT,0,2.6,Class 14
158,UJ2024003,INF1511,2024-02-01,PRESENT,3.0,3.0,Class 1
159,UJ2024003,INF1511,2024-02-08,PRESENT,2.4,2.4,Class 2
160,UJ2024003,INF1511,2024-02-15,PRESENT,2.2,2.2,Class 3
161,UJ2024003,INF1511,2024-02-22,PRESENT,2.2,2.2,Class 4
162,UJ2024003,INF1511,2024-02-29,PRESENT,3.0,3.0,Class 5
163,UJ2024003,INF1511,2024-03-07,ABSENT,0,2.5,Class 6
164,UJ2024003,INF1511,2024-03-14,PRESENT,2.8,2.8,Class 7
165,UJ2024003,INF1511,2024-03-21,PRESENT,2.0,2.0,Class 8
166,UJ2024003,INF1511,2024-03-28,ABSENT,0,2.6,Class 9
167,UJ2024003,INF1511,2024-04-04,PRESENT,2.5,2.5,Class 10
168,UJ2024003,INF1511,2024-04-11,PRESENT,2.7,2.7,Class 11
169,UJ2024003,INF1511,2024-04-18,PRESENT,2.1,2.1,Class 12
170,UJ2024003,INF1511,2024-04-25,PRESENT,2.6,2.6,Class 13
171,UJ2024003,INF1511,2024-05-02,PRESENT,2.7,2.7,Class 14
172,UJ2024003,INF1511,2024-05-09,PRESENT,2.4,2.4,Class 15
173,UJ2024003,SOC2601,2024-02-01,PRESENT,2.6,2.6,Class 1
174,UJ2024003,SOC2601,2024-02-08,PRESENT,2.5,2.5,Class 2
175,UJ2024003,SOC2601,2024-02-15,PRESENT,2.8,2.8,Class 3
176,UJ2024003,SOC2601,2024-02-22,PRESENT,2.5,2.5,Class 4
177,UJ2024003,SOC2601,2024-02-29,PRESENT,2.9,2.9,Class 5
178,UJ2024003,SOC2601,2024-03-07,LATE,1.7,2.4,Class 6
179,UJ2024003,SOC2601,2024-03-14,PRESENT,2.6,2.6,Class 7
180,UJ2024003,SOC2601,2024-03-21,PRESENT,2.7,2.7,Class 8
181,UJ2024003,SOC2601,2024-03-28,PRESENT,2.6,2.6,Class 9
182,UJ2024003,SOC2601,2024-04-04,LATE,1.7,2.1,Class 10
183,UJ2024003,SOC2601,2024-04-11,PRESENT,2.1,2.1,Class 11
184,UJ2024003,SOC2601,2024-04-18,LATE,2.2,2.5,Class 12
185,UJ2024004,LAW2611,2024-02-01,LATE,2.1,2.9,Class 1
186,UJ2024004,LAW2611,2024-02-08,PRESENT,2.0,2.0,Class 2
187,UJ2024004,LAW2611,2024-02-15,PRESENT,2.2,2.2,Class 3
188,UJ2024004,LAW2611,2024-02-22,PRESENT,2.0,2.0,Class 4
189,UJ2024004,LAW2611,2024-02-29,ABSENT,0,2.7,Class 5
190,UJ2024004,LAW2611,2024-03-07,PRESENT,2.6,2.6,Class 6
191,UJ2024004,LAW2611,2024-03-14,PRESENT,2.3,2.3,Class 7
192,UJ2024004,LAW2611,2024-03-21,PRESENT,2.9,2.9,Class 8
193,UJ2024004,LAW2611,2024-03-28,PRESENT,3.0,3.0,Class 9
194,UJ2024004,LAW2611,2024-04-04,PRESENT,2.3,2.3,Class 10
195,UJ2024004,LAW2611,2024-04-11,PRESENT,2.2,2.2,Class 11
196,UJ2024004,LAW2611,2024-04-18,PRESENT,3.0,3.0,Class 12
197,UJ2024004,MAT1581,2024-02-01,PRESENT,2.5,2.5,Class 1
198,UJ2024004,MAT1581,2024-02-08,PRESENT,2.9,2.9,Class 2
199,UJ2024004,MAT1581,2024-02-15,PRESENT,2.1,2.1,Class 3
200,UJ2024004,MAT1581,2024-02-22,PRESENT,2.1,2.1,Class 4
201,UJ2024004,MAT1581,2024-02-29,ABSENT,0,2.7,Class 5
202,UJ2024004,MAT1581,2024-03-07,PRESENT,2.6,2.6,Class 6
203,UJ2024004,MAT1581,2024-03-14,PRESENT,2.4,2.4,Class 7
204,UJ2024004,MAT1581,2024-03-21,PRESENT,2.2,2.2,Class 8
205,UJ2024004,MAT1581,2024-03-28,PRESENT,2.7,2.7,Class 9
206,UJ2024004,MAT1581,2024-04-04,ABSENT,0,3.0,Class 10
207,UJ2024004,MAT1581,2024-04-11,PRESENT,2.1,2.1,Class 11
208,UJ2024004,MAT1581,2024-04-18,PRESENT,2.6,2.6,Class 12
209,UJ2024004,MAT1581,2024-04-25,PRESENT,2.1,2.1,Class 13
210,UJ2024004,MAT1581,2024-05-02,ABSENT,0,2.7,Class 14
211,UJ2024004,MAT1581,2024-05-09,ABSENT,0,2.3,Class 15
212,UJ2024004,COS2611,2024-02-01,PRESENT,2.4,2.4,Class 1
213,UJ2024004,COS2611,2024-02-08,PRESENT,2.4,2.4,Class 2
214,UJ2024004,COS2611,2024-02-15,PRESENT,2.6,2.6,Class 3
215,UJ2024004,COS2611,2024-02-22,PRESENT,2.6,2.6,Class 4
216,UJ2024004,COS2611,2024-02-29,PRESENT,2.8,2.8,Class 5
217,UJ2024004,COS2611,2024-03-07,PRESENT,2.2,2.2,Class 6
218,UJ2024004,COS2611,2024-03-14,PRESENT,2.4,2.4,Class 7
219,UJ2024004,COS2611,2024-03-21,PRESENT,2.5,2.5,Class 8
220,UJ2024004,COS2611,2024-03-28,PRESENT,2.5,2.5,Class 9
221,UJ2024004,COS2611,2024-04-04,ABSENT,0,2.0,Class 10
222,UJ2024004,COS2611,2024-04-11,PRESENT,2.3,2.3,Class 11
223,UJ2024004,COS2611,2024-04-18,PRESENT,2.1,2.1,Class 12
224,UJ2024004,COS2611,2024-04-25,PRESENT,2.8,2.8,Class 13
225,UJ2024004,COS2611,2024-05-02,LATE,2.1,2.4,Class 14
226,UJ2024004,BIO2611,2024-02-01,PRESENT,2.7,2.7,Class 1
227,UJ2024004,BIO2611,2024-02-08,PRESENT,2.2,2.2,Class 2
228,UJ2024004,BIO2611,2024-02-15,PRESENT,2.1,2.1,Class 3
229,UJ2024004,BIO2611,2024-02-22,ABSENT,0,2.8,Class 4
230,UJ2024004,BIO2611,2024-02-29,PRESENT,2.6,2.6,Class 5
231,UJ2024004,BIO2611,2024-03-07,PRESENT,2.2,2.2,Class 6
232,UJ2024004,BIO2611,2024-03-14,PRESENT,2.2,2.2,Class 7
233,UJ2024004,BIO2611,2024-03-21,PRESENT,2.9,2.9,Class 8
234,UJ2024004,BIO2611,2024-03-28,PRESENT,2.4,2.4,Class 9
235,UJ2024004,BIO2611,2024-04-04,PRESENT,2.1,2.1,Class 10
236,UJ2024004,BIO2611,2024-04-11,PRESENT,2.5,2.5,Class 11
237,UJ2024004,BIO2611,2024-04-18,PRESENT,2.6,2.6,Class 12
238,UJ2024004,BIO2611,2024-04-25,PRESENT,2.3,2.3,Class 13
239,UJ2024004,BIO2611,2024-05-02,PRESENT,2.7,2.7,Class 14
240,UJ2024004,EKN114,2024-02-01,PRESENT,2.4,2.4,Class 1
241,UJ2024004,EKN114,2024-02-08,PRESENT,2.5,2.5,Class 2
242,UJ2024004,EKN114,2024-02-15,PRESENT,2.7,2.7,Class 3
243,UJ2024004,EKN114,2024-02-22,PRESENT,2.2,2.2,Class 4
244,UJ2024004,EKN114,2024-02-29,PRESENT,2.8,2.8,Class 5
245,UJ2024004,EKN114,2024-03-07,PRESENT,2.1,2.1,Class 6
246,UJ2024004,EKN114,2024-03-14,PRESENT,2.2,2.2,Class 7
247,UJ2024004,EKN114,2024-03-21,PRESENT,2.4,2.4,Class 8
248,UJ2024004,EKN114,2024-03-28,PRESENT,2.4,2.4,Class 9
249,UJ2024004,EKN114,2024-04-04,PRESENT,2.8,2.8,Class 10
250,UJ2024004,EKN114,2024-04-11,PRESENT,2.2,2.2,Class 11
251,UJ2024004,MNB2601,2024-02-01,PRESENT,2.1,2.1,Class 1
252,UJ2024004,MNB2601,2024-02-08,PRESENT,2.6,2.6,Class 2
253,UJ2024004,MNB2601,2024-02-15,PRESENT,2.6,2.6,Class 3
254,UJ2024004,MNB2601,2024-02-22,PRESENT,2.5,2.5,Class 4
255,UJ2024004,MNB2601,2024-02-29,PRESENT,2.4,2.4,Class 5
256,UJ2024004,MNB2601,2024-03-07,PRESENT,2.2,2.2,Class 6
257,UJ2024004,MNB2601,2024-03-14,PRESENT,3.0,3.0,Class 7
258,UJ2024004,MNB2601,2024-03-21,PRESENT,2.4,2.4,Class 8
259,UJ2024004,MNB2601,2024-03-28,PRESENT,2.5,2.5,Class 9
260,UJ2024004,MNB2601,2024-04-04,PRESENT,3.0,3.0,Class 10
261,UJ2024004,MNB2601,2024-04-11,PRESENT,2.4,2.4,Class 11
262,UJ2024004,MNB2601,2024-04-18,PRESENT,2.7,2.7,Class 12
263,UJ2024004,MNB2601,2024-04-25,PRESENT,3.0,3.0,Class 13
264,UJ2024004,MNB2601,2024-05-02,PRESENT,2.3,2.3,Class 14
265,UJ2024005,ART1511,2024-02-01,PRESENT,2.6,2.6,Class 1
266,UJ2024005,ART1511,2024-02-08,PRESENT,2.7,2.7,Class 2
267,UJ2024005,ART1511,2024-02-15,PRESENT,2.9,2.9,Class 3
268,UJ2024005,ART1511,2024-02-22,PRESENT,2.0,2.0,Class 4
269,UJ2024005,ART1511,2024-02-29,PRESENT,2.8,2.8,Class 5
270,UJ2024005,ART1511,2024-03-07,PRESENT,2.5,2.5,Class 6
271,UJ2024005,ART1511,2024-03-14,PRESENT,2.5,2.5,Class 7
272,UJ2024005,ART1511,2024-03-21,PRESENT,2.8,2.8,Class 8
273,UJ2024005,ART1511,2024-03-28,PRESENT,2.3,2.3,Class 9
274,UJ2024005,ART1511,2024-04-04,PRESENT,2.7,2.7,Class 10
275,UJ2024005,MNB1501,2024-02-01,PRESENT,2.6,2.6,Class 1
276,UJ2024005,MNB1501,2024-02-08,PRESENT,2.4,2.4,Class 2
277,UJ2024005,MNB1501,2024-02-15,PRESENT,2.4,2.4,Class 3
278,UJ2024005,MNB1501,2024-02-22,LATE,1.9,2.5,Class 4
279,UJ2024005,MNB1501,2024-02-29,PRESENT,3.0,3.0,Class 5
280,UJ2024005,MNB1501,2024-03-07,PRESENT,2.1,2.1,Class 6
281,UJ2024005,MNB1501,2024-03-14,PRESENT,2.3,2.3,Class 7
282,UJ2024005,MNB1501,2024-03-21,PRESENT,2.3,2.3,Class 8
283,UJ2024005,MNB1501,2024-03-28,PRESENT,2.1,2.1,Class 9
284,UJ2024005,MNB1501,2024-04-04,PRESENT,2.3,2.3,Class 10
285,UJ2024005,MNB1501,2024-04-11,PRESENT,2.8,2.8,Class 11
286,UJ2024005,MNB1501,2024-04-18,PRESENT,2.8,2.8,Class 12
287,UJ2024005,MNB1501,2024-04-25,PRESENT,2.5,2.5,Class 13
288,UJ2024005,MNB1501,2024-05-02,PRESENT,2.2,2.2,Class 14
289,UJ2024005,MNB1501,2024-05-09,PRESENT,2.6,2.6,Class 15
290,UJ2024005,PLS2601,2024-02-01,PRESENT,3.0,3.0,Class 1
291,UJ2024005,PLS2601,2024-02-08,PRESENT,2.4,2.4,Class 2
292,UJ2024005,PLS2601,2024-02-15,PRESENT,2.3,2.3,Class 3
293,UJ2024005,PLS2601,2024-02-22,ABSENT,0,2.6,Class 4
294,UJ2024005,PLS2601,2024-02-29,PRESENT,2.9,2.9,Class 5
295,UJ2024005,PLS2601,2024-03-07,PRESENT,2.5,2.5,Class 6
296,UJ2024005,PLS2601,2024-03-14,PRESENT,2.0,2.0,Class 7
297,UJ2024005,PLS2601,2024-03-21,ABSENT,0,2.1,Class 8
298,UJ2024005,PLS2601,2024-03-28,PRESENT,2.0,2.0,Class 9
299,UJ2024005,PLS2601,2024-04-04,PRESENT,2.9,2.9,Class 10
300,UJ2024005,PLS2601,2024-04-11,PRESENT,2.7,2.7,Class 11
301,UJ2024005,PLS2601,2024-04-18,PRESENT,2.4,2.4,Class 12
302,UJ2024005,CHE1511,2024-02-01,ABSENT,0,2.9,Class 1
303,UJ2024005,CHE1511,2024-02-08,PRESENT,2.7,2.7,Class 2
304,UJ2024005,CHE1511,2024-02-15,PRESENT,2.9,2.9,Class 3
305,UJ2024005,CHE1511,2024-02-22,PRESENT,2.1,2.1,Class 4
306,UJ2024005,CHE1511,2024-02-29,PRESENT,2.1,2.1,Class 5
307,UJ2024005,CHE1511,2024-03-07,PRESENT,2.6,2.6,Class 6
308,UJ2024005,CHE1511,2024-03-14,ABSENT,0,2.7,Class 7
309,UJ2024005,CHE1511,2024-03-21,PRESENT,3.0,3.0,Class 8
310,UJ2024005,CHE1511,2024-03-28,PRESENT,2.8,2.8,Class 9
311,UJ2024005,CHE1511,2024-04-04,PRESENT,2.7,2.7,Class 10
312,UJ2024005,CHE1511,2024-04-11,PRESENT,2.3,2.3,Class 11
313,UJ2024005,CHE1511,2024-04-18,PRESENT,2.5,2.5,Class 12
314,UJ2024006,CHE2611,2024-02-01,PRESENT,2.6,2.6,Class 1
315,UJ2024006,CHE2611,2024-02-08,PRESENT,2.3,2.3,Class 2
316,UJ2024006,CHE2611,2024-02-15,PRESENT,2.3,2.3,Class 3
317,UJ2024006,CHE2611,2024-02-22,ABSENT,0,2.4,Class 4
318,UJ2024006,CHE2611,2024-02-29,LATE,1.7,2.7,Class 5
319,UJ2024006,CHE2611,2024-03-07,LATE,2.5,2.9,Class 6
320,UJ2024006,CHE2611,2024-03-14,PRESENT,2.5,2.5,Class 7
321,UJ2024006,CHE2611,2024-03-21,ABSENT,0,2.5,Class 8
322,UJ2024006,CHE2611,2024-03-28,PRESENT,2.6,2.6,Class 9
323,UJ2024006,CHE2611,2024-04-04,PRESENT,2.8,2.8,Class 10
324,UJ2024006,CHE2611,2024-04-11,PRESENT,2.6,2.6,Class 11
325,UJ2024006,CHE2611,2024-04-18,PRESENT,2.7,2.7,Class 12
326,UJ2024006,CHE2611,2024-04-25,PRESENT,2.0,2.0,Class 13
327,UJ2024006,FAC2601,2024-02-01,PRESENT,2.3,2.3,Class 1
328,UJ2024006,FAC2601,2024-02-08,PRESENT,2.2,2.2,Class 2
329,UJ2024006,FAC2601,2024-02-15,PRESENT,2.1,2.1,Class 3
330,UJ2024006,FAC2601,2024-02-22,PRESENT,3.0,3.0,Class 4
331,UJ2024006,FAC2601,2024-02-29,PRESENT,2.0,2.0,Class 5
332,UJ2024006,FAC2601,2024-03-07,ABSENT,0,2.1,Class 6
333,UJ2024006,FAC2601,2024-03-14,PRESENT,2.2,2.2,Class 7
334,UJ2024006,FAC2601,2024-03-21,PRESENT,2.4,2.4,Class 8
335,UJ2024006,FAC2601,2024-03-28,PRESENT,2.5,2.5,Class 9
336,UJ2024006,FAC2601,2024-04-04,PRESENT,2.8,2.8,Class 10
337,UJ2024006,EKN224,2024-02-01,PRESENT,2.4,2.4,Class 1
338,UJ2024006,EKN224,2024-02-08,PRESENT,2.3,2.3,Class 2
339,UJ2024006,EKN224,2024-02-15,ABSENT,0,2.4,Class 3
340,UJ2024006,EKN224,2024-02-22,PRESENT,2.5,2.5,Class 4
341,UJ2024006,EKN224,2024-02-29,PRESENT,2.6,2.6,Class 5
342,UJ2024006,EKN224,2024-03-07,PRESENT,2.4,2.4,Class 6
343,UJ2024006,EKN224,2024-03-14,PRESENT,2.6,2.6,Class 7
344,UJ2024006,EKN224,2024-03-21,PRESENT,2.7,2.7,Class 8
345,UJ2024006,EKN224,2024-03-28,PRESENT,2.9,2.9,Class 9
