enrollment_id,student_id,course_code,enrollment_date,status,attendance_percentage
52,UJ2024009,BIO1511,2024-10-13,ENROLLED,99.84
53,UJ2024009,MNB2601,2024-10-06,ENROLLED,91.89
54,UJ2024009,LAW1511,2024-03-24,COMPLETED,97.14
55,UJ2024009,ENG1511,2024-08-09,ENROLLED,84.59
56,UJ2024010,INF2611,2024-01-21,ENROLLED,80.07
57,UJ2024010,ARC1511,2024-08-20,ENROLLED,95.73
58,UJ2024010,PHY1513,2024-06-21,ENROLLED,91.2
59,UJ2024010,MNB1501,2024-01-20,ENROLLED,75.22
60,UJ2024010,EKN114,2024-11-03,ENROLLED,84.52
61,UJ2024011,COS1511,2024-01-01,ENROLLED,82.12
62,UJ2024011,CHE2611,2024-08-11,ENROLLED,98.95
63,UJ2024011,PLS2601,2024-02-24,ENROLLED,92.09
64,UJ2024011,SOC2601,2024-06-03,ENROLLED,95.26
65,UJ2024011,SOC1501,2024-11-17,ENROLLED,99.82
66,UJ2024011,ENG2611,2024-02-13,ENROLLED,95.18
67,UJ2024012,PHY2611,2024-10-26,ENROLLED,89.09
68,UJ2024012,BIO1511,2024-01-11,ENROLLED,85.54
69,UJ2024012,ART2611,2024-10-01,COMPLETED,98.55
70,UJ2024012,INF1511,2024-09-17,ENROLLED,87.74
71,UJ2024012,APM2611,2024-11-25,ENROLLED,80.49
72,UJ2024012,SOC1501,2024-02-20,ENROLLED,87.75
73,UJ2024012,MAT1581,2024-05-12,ENROLLED,80.26
74,UJ2024013,ARC2611,2024-06-01,COMPLETED,90.47
75,UJ2024013,APM1513,2024-11-07,COMPLETED,95.99
76,UJ2024013,COS1511,2024-09-23,COMPLETED,99.29
77,UJ2024013,ENG2611,2024-01-26,ENROLLED,88.34
78,UJ2024013,LAW1511,2024-03-19,ENROLLED,83.97
79,UJ2024014,APM1513,2024-05-03,ENROLLED,76.6
80,UJ2024014,EKN224,2024-08-05,ENROLLED,77.41
81,UJ2024014,BIO1511,2024-02-01,ENROLLED,95.47
82,UJ2024014,EKN114,2024-05-16,ENROLLED,95.53
83,UJ2024014,MAT2681,2024-03-15,ENROLLED,94.38
84,UJ2024015,EKN224,2024-01-08,ENROLLED,91.22
85,UJ2024015,BIO2611,2024-06-06,ENROLLED,81.16
86,UJ2024015,ARC1511,2024-03-06,ENROLLED,98.28
87,UJ2024015,PLS2601,2024-07-15,ENROLLED,92.13
88,UJ2024015,MAT1581,2024-01-13,ENROLLED,84.02
89,UJ2024015,EKN114,2024-11-21,ENROLLED,99.86
90,UJ2024015,PLS1501,2024-07-08,COMPLETED,87.38
91,UJ2024015,ENG1511,2024-06-19,COMPLETED,85.26
92,UJ2024016,LAW1511,2024-06-28,ENROLLED,87.41
93,UJ2024016,MAT1581,2024-08-17,ENROLLED,81.1
94,UJ2024016,NUR1511,2024-12-13,ENROLLED,99.98
95,UJ2024016,COS2611,2024-01-04,ENROLLED,98.04
96,UJ2024016,NUR2611,2024-02-10,ENROLLED,95.25
97,UJ2024016,MAT2681,2024-04-12,ENROLLED,54.94
98,UJ2024016,ART2611,2024-12-18,ENROLLED,89.31
99,UJ2024016,EKN224,2024-06-02,COMPLETED,96.34
100,UJ2024017,CHE1511,2024-04-10,ENROLLED,90.64
101,UJ2024017,SOC1501,2024-09-26,ENROLLED,83.69
102,UJ2024017,PHY1513,2024-02-28,COMPLETED,83.09
103,UJ2024017,PHY2611,2024-03-19,COMPLETED,85.39
104,UJ2024017,ARC1511,2024-03-23,ENROLLED,90.59
105,UJ2024017,EKN224,2024-10-22,ENROLLED,90.68
106,UJ2024018,ARC2611,2024-03-21,ENROLLED,86.15
107,UJ2024018,PLS1501,2024-02-23,ENROLLED,83.22
108,UJ2024018,ART2611,2024-08-04,ENROLLED,91.46
109,UJ2024018,FAC1502,2024-04-28,ENROLLED,93.14
110,UJ2024018,CHE2611,2024-05-16,ENROLLED,85.56
111,UJ2024018,MNB1501,2024-05-06,ENROLLED,98.64
112,UJ2024018,CHE1511,2024-11-23,ENROLLED,78.47
113,UJ2024018,PLS2601,2024-08-22,ENROLLED,81.9
114,UJ2024019,LAW2611,2024-03-14,ENROLLED,97.53
115,UJ2024019,COS2611,2024-04-15,ENROLLED,99.98
116,UJ2024019,EKN114,2024-08-05,ENROLLED,82.09
117,UJ2024019,COS1511,2024-08-19,ENROLLED,94.54
118,UJ2024020,BIO1511,2024-10-26,ENROLLED,98.15
119,UJ2024020,INF2611,2024-01-18,ENROLLED,80.4
120,UJ2024020,APM1513,2024-08-02,ENROLLED,90.13
121,UJ2024020,BIO2611,2024-08-12,ENROLLED,81.02
122,UJ2024020,FAC1502,2024-04-26,ENROLLED,90.93
123,UJ2024020,PLS2601,2024-04-13,ENROLLED,89.23
124,UJ2024021,PLS1501,2024-07-10,COMPLETED,89.07
125,UJ2024021,LAW1511,2024-04-02,ENROLLED,95.38
126,UJ2024021,COS2611,2024-11-09,COMPLETED,86.33
127,UJ2024021,SOC1501,2024-12-04,ENROLLED,89.44
128,UJ2024021,COS1511,2024-05-12,ENROLLED,90.43
129,UJ2024021,MNB2601,2024-12-15,ENROLLED,98.01
130,UJ2024022,FAC1502,2024-07-21,ENROLLED,93.98
131,UJ2024022,APM1513,2024-02-09,ENROLLED,86.46
132,UJ2024022,CHE2611,2024-03-11,ENROLLED,81.49
133,UJ2024022,MAT1581,2024-04-22,ENROLLED,97.3
134,UJ2024022,ENG1511,2024-06-13,ENROLLED,92.75
135,UJ2024022,MAT2681,2024-08-15,ENROLLED,89.07
136,UJ2024022,LAW1511,2024-03-15,COMPLETED,91.94
137,UJ2024022,MNB1501,2024-12-26,COMPLETED,81.27
138,UJ2024023,MNB2601,2024-03-02,ENROLLED,92.47
139,UJ2024023,COS2611,2024-03-23,COMPLETED,84.3
140,UJ2024023,PLS2601,2024-06-18,ENROLLED,90.84
141,UJ2024023,EKN114,2024-05-05,ENROLLED,88.15
142,UJ2024024,BIO2611,2024-03-09,ENROLLED,66.93
143,UJ2024024,ENG1511,2024-10-22,ENROLLED,78.87
144,UJ2024024,NUR1511,2024-07-19,ENROLLED,91.63
145,UJ2024024,MAT2681,2024-04-12,ENROLLED,97.24
146,UJ2024024,COS1511,2024-08-07,COMPLETED,87.92
147,UJ2024024,LAW1511,2024-12-15,ENROLLED,93.99
148,UJ2024024,MAT1581,2024-03-11,ENROLLED,87.64
149,UJ2024025,NUR2611,2024-04-10,ENROLLED,99.61
150,UJ2024025,ARC1511,2024-11-05,ENROLLED,83.63
151,UJ2024025,BIO2611,2024-12-05,ENROLLED,90.13
152,UJ2024025,NUR1511,2024-07-18,ENROLLED,88.3
153,UJ2024025,SOC1501,2024-07-17,ENROLLED,95.51
154,UJ2024025,CHE1511,2024-04-25,ENROLLED,85.84
155,UJ2024025,MNB2601,2024-07-10,COMPLETED,97.4
156,UJ2024026,INF2611,2024-10-03,COMPLETED,99.86
157,UJ2024026,PHY2611,2024-09-02,ENROLLED,81.63
158,UJ2024026,ART2611,2024-11-24,ENROLLED,88.22
159,UJ2024026,BIO2611,2024-03-20,COMPLETED,86.81
160,UJ2024026,PHY1513,2024-03-28,ENROLLED,83.75
161,UJ2024027,PHY2611,2024-11-01,COMPLETED,97.08
162,UJ2024027,INF2611,2024-04-18,ENROLLED,92.38
163,UJ2024027,MNB1501,2024-12-19,ENROLLED,82.73
164,UJ2024027,INF1511,2024-06-14,ENROLLED,91.16
165,UJ2024027,EKN114,2024-06-03,COMPLETED,99.53
166,UJ2024027,SOC1501,2024-09-23,COMPLETED,80.59
167,UJ2024027,PLS1501,2024-09-12,ENROLLED,89.75
168,UJ2024027,PHY1513,2024-12-24,ENROLLED,83.78
169,UJ2024028,MAT1581,2024-08-28,COMPLETED,84.78
170,UJ2024028,PLS1501,2024-07-18,ENROLLED,87.39
171,UJ2024028,MNB2601,2024-10-14,ENROLLED,83.93
172,UJ2024028,ARC1511,2024-04-10,COMPLETED,91.55
173,UJ2024028,ENG2611,2024-02-28,ENROLLED,99.05
174,UJ2024028,NUR2611,2024-05-08,ENROLLED,90.73
175,UJ2024028,COS2611,2024-06-06,COMPLETED,87.09
176,UJ2024029,MNB2601,2024-12-21,ENROLLED,86.26
177,UJ2024029,PLS2601,2024-02-08,ENROLLED,86.27
178,UJ2024029,MAT1581,2024-11-17,COMPLETED,88.06
179,UJ2024029,APM2611,2024-10-06,ENROLLED,92.96
180,UJ2024029,ARC1511,2024-12-04,ENROLLED,82.44
181,UJ2024029,EKN224,2024-05-20,COMPLETED,95.09
182,UJ2024030,PHY1513,2024-07-12,ENROLLED,66.77
183,UJ2024030,BIO2611,2024-10-16,ENROLLED,85.43
184,UJ2024030,ARC2611,2024-02-06,COMPLETED,98.62
185,UJ2024030,PHY2611,2024-11-28,ENROLLED,97.55
186,UJ2024030,MNB1501,2024-12-12,ENROLLED,52.37
187,UJ2024031,ENG2611,2024-05-08,ENROLLED,81.45
188,UJ2024031,NUR2611,2024-11-03,ENROLLED,83.98
189,UJ2024031,ART1511,2024-06-28,ENROLLED,94.12
190,UJ2024031,ART2611,2024-04-25,ENROLLED,97.22
191,UJ2024031,SOC1501,2024-10-03,ENROLLED,80.52
192,UJ2024031,INF2611,2024-10-05,COMPLETED,86.26
193,UJ2024031,INF1511,2024-01-24,ENROLLED,98.76
194,UJ2024031,FAC1502,2024-03-15,COMPLETED,95.03
195,UJ2024032,LAW1511,2024-10-04,ENROLLED,93.15
196,UJ2024032,COS2611,2024-12-08,ENROLLED,91.13
197,UJ2024032,FAC1502,2024-08-13,COMPLETED,85.65
198,UJ2024032,PLS2601,2024-03-14,ENROLLED,91.49
199,UJ2024033,FAC1502,2024-04-07,COMPLETED,90.52
200,UJ2024033,COS1511,2024-02-01,ENROLLED,90.68
201,UJ2024033,EKN224,2024-07-25,ENROLLED,98.45
202,UJ2024033,CHE2611,2024-01-07,ENROLLED,84.62
203,UJ2024033,ART1511,2024-09-05,ENROLLED,97.63
204,UJ2024034,LAW2611,2024-09-04,ENROLLED,90.78
205,UJ2024034,MNB1501,2024-09-28,ENROLLED,81.21
206,UJ2024034,NUR2611,2024-02-05,ENROLLED,80.07
207,UJ2024034,ART1511,2024-01-12,ENROLLED,88.47
208,UJ2024034,FAC2601,2024-03-17,ENROLLED,99.55
209,UJ2024034,ENG2611,2024-03-23,ENROLLED,99.73
210,UJ2024034,PLS2601,2024-01-13,ENROLLED,54.38
211,UJ2024034,CHE1511,2024-09-23,ENROLLED,90.81
212,UJ2024035,COS1511,2024-02-23,ENROLLED,78.14
213,UJ2024035,MAT2681,2024-05-26,COMPLETED,91.26
214,UJ2024035,ART2611,2024-10-16,COMPLETED,80.06
215,UJ2024035,BIO2611,2024-01-14,COMPLETED,89.41
216,UJ2024036,MAT1581,2024-01-28,ENROLLED,83.93
217,UJ2024036,COS1511,2024-04-02,ENROLLED,91.81
218,UJ2024036,MAT2681,2024-01-01,ENROLLED,91.02
219,UJ2024036,LAW2611,2024-08-14,ENROLLED,95.61
220,UJ2024036,CHE2611,2024-07-05,ENROLLED,91.04
221,UJ2024036,PHY1513,2024-04-07,ENROLLED,94.28
222,UJ2024037,MNB1501,2024-01-06,ENROLLED,84.02
223,UJ2024037,PHY2611,2024-07-10,ENROLLED,76.17
224,UJ2024037,INF2611,2024-05-04,COMPLETED,90.98
225,UJ2024037,SOC2601,2024-04-01,ENROLLED,84.07
226,UJ2024037,ARC1511,2024-09-27,ENROLLED,81.89
227,UJ2024037,FAC2601,2024-05-09,ENROLLED,97.9
228,UJ2024037,ART2611,2024-08-17,ENROLLED,81.14
229,UJ2024038,ART2611,2024-11-21,ENROLLED,92.54
230,UJ2024038,INF1511,2024-03-04,COMPLETED,98.36
231,UJ2024038,MAT2681,2024-06-05,ENROLLED,84.87
232,UJ2024038,LAW1511,2024-01-18,ENROLLED,86.18
233,UJ2024039,APM1513,2024-09-24,ENROLLED,84.69
234,UJ2024039,NUR1511,2024-05-25,COMPLETED,84.53
235,UJ2024039,BIO2611,2024-04-11,COMPLETED,81.24
236,UJ2024039,APM2611,2024-01-13,ENROLLED,91.54
237,UJ2024039,PHY1513,2024-03-11,ENROLLED,87.01
238,UJ2024040,EKN224,2024-10-06,ENROLLED,89.84
239,UJ2024040,PLS2601,2024-06-05,ENROLLED,94.08
240,UJ2024040,CHE2611,2024-12-27,ENROLLED,81.65
241,UJ2024040,ENG2611,2024-11-21,ENROLLED,91.97
242,UJ2024041,MNB2601,2024-08-18,ENROLLED,94.34
243,UJ2024041,MAT2681,2024-04-07,ENROLLED,90.97
244,UJ2024041,INF2611,2024-11-21,ENROLLED,93.95
245,UJ2024041,SOC2601,2024-04-01,COMPLETED,81.15
246,UJ2024041,FAC2601,2024-03-20,COMPLETED,92.46
247,UJ2024042,MAT2681,2024-04-22,ENROLLED,85.08
248,UJ2024042,EKN224,2024-11-07,ENROLLED,99.88
249,UJ2024042,PHY1513,2024-03-04,ENROLLED,95.68
250,UJ2024042,ARC2611,2024-01-14,ENROLLED,84.4
251,UJ2024042,FAC1502,2024-06-06,COMPLETED,82.31
252,UJ2024042,ARC1511,2024-08-21,ENROLLED,89.47
253,UJ2024043,PHY2611,2024-01-27,ENROLLED,87.99
254,UJ2024043,EKN114,2024-12-15,COMPLETED,86.76
255,UJ2024043,LAW2611,2024-02-21,ENROLLED,92.24
256,UJ2024043,MAT2681,2024-10-15,ENROLLED,70.57
257,UJ2024043,CHE1511,2024-05-08,ENROLLED,81.88
258,UJ2024044,INF2611,2024-11-24,ENROLLED,91.92
259,UJ2024044,MAT1581,2024-07-05,ENROLLED,82.88
260,UJ2024044,COS1511,2024-11-24,COMPLETED,96.68
261,UJ2024044,INF1511,2024-03-02,ENROLLED,99.65
262,UJ2024044,CHE2611,2024-01-27,ENROLLED,88.59
263,UJ2024044,SOC1501,2024-11-06,ENROLLED,96.7
264,UJ2024044,EKN114,2024-01-27,ENROLLED,97.21
265,UJ2024044,LAW1511,2024-01-12,ENROLLED,86.06
266,UJ2024045,MNB2601,2024-06-24,ENROLLED,81.53
267,UJ2024045,NUR2611,2024-10-18,ENROLLED,87.33
268,UJ2024045,EKN114,2024-05-19,ENROLLED,95.3
269,UJ2024045,PHY1513,2024-11-24,COMPLETED,62.24
270,UJ2024045,BIO2611,2024-09-21,ENROLLED,90.72
271,UJ2024045,APM1513,2024-10-11,ENROLLED,85.4
272,UJ2024045,MAT1581,2024-06-08,ENROLLED,81.56
273,UJ2024045,ART2611,2024-12-28,ENROLLED,91.55
274,UJ2024046,BIO1511,2024-09-13,COMPLETED,86.83
275,UJ2024046,LAW1511,2024-02-13,ENROLLED,59.47
276,UJ2024046,INF2611,2024-06-18,ENROLLED,89.51
277,UJ2024046,APM2611,2024-05-25,ENROLLED,90.84
278,UJ2024046,INF1511,2024-05-12,COMPLETED,88.99
279,UJ2024046,PLS1501,2024-06-10,COMPLETED,86.36
280,UJ2024046,BIO2611,2024-02-05,ENROLLED,75.01
281,UJ2024047,PLS1501,2024-10-26,ENROLLED,96.48
282,UJ2024047,SOC2601,2024-01-04,COMPLETED,90.41
283,UJ2024047,NUR1511,2024-06-08,ENROLLED,84.42
284,UJ2024047,EKN224,2024-12-25,ENROLLED,94.79
285,UJ2024047,PHY2611,2024-12-18,ENROLLED,96.75
286,UJ2024048,ARC2611,2024-01-04,COMPLETED,90.73
287,UJ2024048,MAT1581,2024-09-20,ENROLLED,90.49
288,UJ2024048,NUR1511,2024-07-11,ENROLLED,85.34
289,UJ2024048,CHE1511,2024-01-21,ENROLLED,92.52
290,UJ2024049,LAW2611,2024-06-01,COMPLETED,99.28
291,UJ2024049,EKN224,2024-09-17,ENROLLED,52.8
292,UJ2024049,EKN114,2024-10-16,ENROLLED,81.44
293,UJ2024049,BIO1511,2024-04-28,COMPLETED,93.39
294,UJ2024049,BIO2611,2024-12-04,COMPLETED,96.14
295,UJ2024049,ART2611,2024-06-10,ENROLLED,96.33
296,UJ2024049,SOC2601,2024-10-19,ENROLLED,86.25
297,UJ2024049,COS2611,2024-11-22,ENROLLED,94.64
298,UJ2024050,CHE1511,2024-07-08,ENROLLED,59.37
299,UJ2024050,APM1513,2024-10-10,ENROLLED,90.2
300,UJ2024050,NUR2611,2024-06-09,ENROLLED,88.42
301,UJ2024050,MAT1581,2024-03-07,COMPLETED,92.12
302,UJ2024050,PHY1513,2024-07-09,ENROLLED,99.92
303,UJ2024050,MAT2681,2024-07-05,ENROLLED,98.02
304,UJ2024050,NUR1511,2024-01-28,ENROLLED,97.47
305,UJ2024050,LAW1511,2024-01-09,COMPLETED,95.45
306,UJ2024051,INF1511,2024-03-07,COMPLETED,53.64
307,UJ2024051,BIO2611,2024-03-02,ENROLLED,94.19
308,UJ2024051,NUR2611,2024-01-24,ENROLLED,95.1
309,UJ2024051,PLS1501,2024-06-05,ENROLLED,88.09
310,UJ2024051,MAT1581,2024-12-04,COMPLETED,90.05
311,UJ2024052,LAW2611,2024-04-22,COMPLETED,85.56
312,UJ2024052,NUR2611,2024-11-26,ENROLLED,99.47
313,UJ2024052,APM2611,2024-09-01,COMPLETED,87.6
314,UJ2024052,MAT2681,2024-06-08,ENROLLED,80.61
315,UJ2024052,ENG1511,2024-09-26,COMPLETED,84.89
316,UJ2024052,PHY1513,2024-11-27,ENROLLED,89.21
317,UJ2024052,BIO2611,2024-08-10,COMPLETED,81.84
318,UJ2024052,INF2611,2024-09-16,ENROLLED,99.81
319,UJ2024053,ENG2611,2024-11-14,ENROLLED,86.79
320,UJ2024053,PHY2611,2024-03-27,ENROLLED,87.77
321,UJ2024053,INF2611,2024-09-19,ENROLLED,69.53
322,UJ2024053,CHE1511,2024-09-03,COMPLETED,80.51
323,UJ2024053,ARC1511,2024-11-26,COMPLETED,95.47
324,UJ2024053,COS2611,2024-07-07,COMPLETED,93.88
325,UJ2024053,PHY1513,2024-01-19,COMPLETED,90.63
326,UJ2024054,EKN224,2024-12-11,COMPLETED,80.09
327,UJ2024054,FAC1502,2024-03-26,ENROLLED,90.54
328,UJ2024054,ENG1511,2024-07-22,COMPLETED,80.95
329,UJ2024054,MAT1581,2024-03-25,ENROLLED,96.68
330,UJ2024054,BIO1511,2024-08-06,ENROLLED,90.4
331,UJ2024054,FAC2601,2024-03-07,ENROLLED,88.93
332,UJ2024055,EKN224,2024-10-05,ENROLLED,86.04
333,UJ2024055,LAW2611,2024-03-27,COMPLETED,81.3
334,UJ2024055,ENG1511,2024-08-15,ENROLLED,99.24
335,UJ2024055,APM1513,2024-01-01,ENROLLED,93.33
336,UJ2024055,CHE2611,2024-03-22,ENROLLED,91.48
337,UJ2024055,FAC2601,2024-08-24,ENROLLED,97.26
338,UJ2024056,NUR2611,2024-12-01,ENROLLED,94.27
339,UJ2024056,FAC2601,2024-11-06,COMPLETED,97.0
340,UJ2024056,EKN224,2024-03-21,COMPLETED,95.41
341,UJ2024056,ARC1511,2024-01-03,COMPLETED,89.48
342,UJ2024057,FAC2601,2024-06-15,ENROLLED,91.49
343,UJ2024057,PHY2611,2024-07-10,COMPLETED,96.78
344,UJ2024057,APM2611,2024-07-15,COMPLETED,83.88
345,UJ2024057,EKN114,2024-06-21,ENROLLED,94.03
346,UJ2024057,INF2611,2024-06-09,ENROLLED,94.35
347,UJ2024058,LAW1511,2024-02-02,ENROLLED,85.34
348,UJ2024058,COS1511,2024-10-15,ENROLLED,86.33
349,UJ2024058,INF2611,2024-02-18,ENROLLED,94.57
350,UJ2024058,PLS2601,2024-10-18,ENROLLED,96.72
351,UJ2024058,ARC1511,2024-09-03,ENROLLED,65.64
352,UJ2024058,INF1511,2024-01-09,COMPLETED,93.08
353,UJ2024058,MNB1501,2024-08-09,COMPLETED,69.46
354,UJ2024059,SOC1501,2024-06-21,ENROLLED,98.85
355,UJ2024059,MAT2681,2024-12-07,ENROLLED,64.41
356,UJ2024059,INF2611,2024-01-11,ENROLLED,85.49
357,UJ2024059,ARC2611,2024-01-14,ENROLLED,89.52
358,UJ2024059,LAW1511,2024-03-08,COMPLETED,87.46
359,UJ2024060,ARC2611,2024-01-18,ENROLLED,82.91
360,UJ2024060,PLS2601,2024-06-14,COMPLETED,65.57
361,UJ2024060,MAT1581,2024-07-25,COMPLETED,85.23
362,UJ2024060,MAT2681,2024-01-02,COMPLETED,92.31
363,UJ2024060,EKN114,2024-11-15,ENROLLED,86.36
364,UJ2024060,CHE1511,2024-03-01,ENROLLED,83.39
365,UJ2024060,MNB2601,2024-10-24,ENROLLED,65.7
366,UJ2024061,SOC2601,2024-10-18,COMPLETED,91.09
367,UJ2024061,CHE2611,2024-12-26,ENROLLED,96.45
368,UJ2024061,ENG1511,2024-12-24,ENROLLED,98.65
369,UJ2024061,PLS2601,2024-03-18,ENROLLED,84.0
370,UJ2024062,BIO1511,2024-08-18,ENROLLED,90.09
371,UJ2024062,NUR1511,2024-01-15,ENROLLED,82.26
372,UJ2024062,PHY2611,2024-12-06,ENROLLED,96.95
373,UJ2024062,ARC1511,2024-08-02,ENROLLED,80.51
374,UJ2024062,MNB2601,2024-05-27,COMPLETED,76.09
375,UJ2024062,CHE1511,2024-03-19,ENROLLED,99.51
376,UJ2024062,BIO2611,2024-11-10,ENROLLED,69.98
377,UJ2024063,APM2611,2024-03-08,ENROLLED,95.27
378,UJ2024063,ENG1511,2024-12-15,ENROLLED,91.55
379,UJ2024063,ARC1511,2024-08-11,COMPLETED,98.19
380,UJ2024063,ENG2611,2024-09-11,ENROLLED,93.91
381,UJ2024063,COS2611,2024-05-08,ENROLLED,85.94
382,UJ2024063,INF2611,2024-05-08,ENROLLED,89.77
383,UJ2024063,PHY1513,2024-03-19,COMPLETED,85.47
384,UJ2024063,APM1513,2024-05-17,ENROLLED,90.26
385,UJ2024064,MNB2601,2024-12-25,ENROLLED,86.92
386,UJ2024064,EKN114,2024-05-10,ENROLLED,88.09
387,UJ2024064,MNB1501,2024-07-25,COMPLETED,96.28
388,UJ2024064,BIO1511,2024-09-18,ENROLLED,80.61
389,UJ2024064,PHY2611,2024-09-01,ENROLLED,85.99
390,UJ2024065,MAT2681,2024-12-12,ENROLLED,83.51
391,UJ2024065,ENG2611,2024-08-06,ENROLLED,90.39
392,UJ2024065,PLS2601,2024-04-25,ENROLLED,97.08
393,UJ2024065,COS1511,2024-10-14,COMPLETED,77.91
394,UJ2024065,MNB1501,2024-07-27,ENROLLED,52.46
395,UJ2024065,BIO1511,2024-01-07,ENROLLED,89.74
396,UJ2024065,NUR1511,2024-11-09,ENROLLED,99.93
397,UJ2024066,MNB1501,2024-07-01,COMPLETED,92.44
398,UJ2024066,BIO2611,2024-12-27,ENROLLED,58.98
399,UJ2024066,BIO1511,2024-05-26,COMPLETED,90.6
400,UJ2024066,LAW2611,2024-09-17,ENROLLED,96.54
401,UJ2024066,SOC2601,2024-12-24,COMPLETED,93.45
402,UJ2024066,MNB2601,2024-12-12,ENROLLED,82.73
403,UJ2024066,FAC1502,2024-04-04,ENROLLED,53.55
404,UJ2024066,ART2611,2024-07-03,ENROLLED,90.96
405,UJ2024067,ENG1511,2024-11-04,ENROLLED,83.52
406,UJ2024067,LAW1511,2024-04-02,ENROLLED,81.47
407,UJ2024067,ARC2611,2024-09-12,ENROLLED,90.97
408,UJ2024067,BIO2611,2024-02-19,ENROLLED,96.94
409,UJ2024068,MNB1501,2024-03-15,COMPLETED,91.64
410,UJ2024068,MNB2601,2024-01-24,ENROLLED,97.82
411,UJ2024068,LAW2611,2024-06-05,ENROLLED,92.4
412,UJ2024068,NUR1511,2024-05-21,ENROLLED,88.5
413,UJ2024068,COS1511,2024-04-22,ENROLLED,92.24
414,UJ2024068,PLS2601,2024-12-03,COMPLETED,95.1
415,UJ2024068,CHE1511,2024-08-26,ENROLLED,93.65
416,UJ2024069,INF2611,2024-07-06,COMPLETED,83.6
417,UJ2024069,ART1511,2024-04-22,ENROLLED,96.64
418,UJ2024069,COS1511,2024-01-25,ENROLLED,88.32
419,UJ2024069,MNB2601,2024-02-18,COMPLETED,96.25
420,UJ2024069,PLS1501,2024-08-16,ENROLLED,82.52
421,UJ2024070,BIO2611,2024-02-01,ENROLLED,87.88
422,UJ2024070,EKN114,2024-11-02,COMPLETED,93.84
423,UJ2024070,CHE1511,2024-01-16,ENROLLED,96.84
424,UJ2024070,INF1511,2024-06-12,ENROLLED,84.4
425,UJ2024070,SOC1501,2024-11-09,ENROLLED,95.62
426,UJ2024070,FAC1502,2024-02-17,ENROLLED,98.91
