grade_id,student_id,course_code,assignment1,assignment2,assignment3,midterm,final_exam,total_score,grade_letter,gpa,semester,recorded_date
47,UJ2024035,MAT2681,55.82,65.63,57.13,77.14,77.51,69.33,B,3.0,2024-1,2026-01-12
48,UJ2024035,ART2611,72.54,51.5,63.39,81.86,94.56,76.95,A,4.0,2024-1,2026-01-12
49,UJ2024035,BIO2611,91.43,72.83,97.79,56.61,76.79,76.5,A,4.0,2024-1,2026-01-12
50,UJ2024037,INF2611,63.28,97.12,64.65,72.72,91.67,79.44,A,4.0,2024-1,2026-01-12
51,UJ2024038,INF1511,81.76,62.31,57.49,91.53,98.96,82.8,A,4.0,2024-1,2026-01-12
52,UJ2024039,NUR1511,54.47,71.07,68.97,58.43,56.97,60.88,C+,2.5,2024-1,2026-01-12
53,UJ2024039,BIO2611,55.9,69.44,53.92,76.86,61.08,64.43,C+,2.5,2024-1,2026-01-12
54,UJ2024041,SOC2601,97.29,89.78,55.17,99.85,71.5,82.75,A,4.0,2024-1,2026-01-12
55,UJ2024041,FAC2601,59.64,79.9,75.45,51.6,73.76,67.28,B,3.0,2024-1,2026-01-12
56,UJ2024042,FAC1502,64.21,77.25,80.37,60.45,53.48,64.43,C+,2.5,2024-1,2026-01-12
57,UJ2024043,EKN114,75.91,62.87,96.17,77.25,77.03,77.66,A,4.0,2024-1,2026-01-12
58,UJ2024044,COS1511,70.28,82.96,89.31,95.87,94.98,88.84,A,4.0,2024-1,2026-01-12
59,UJ2024045,PHY1513,91.45,61.39,62.57,93.68,78.26,79.21,A,4.0,2024-1,2026-01-12
60,UJ2024046,BIO1511,81.37,63.01,92.06,74.13,71.84,75.55,A,4.0,2024-1,2026-01-12
61,UJ2024046,INF1511,78.17,82.13,55.83,59.63,91.64,74.82,B+,3.5,2024-1,2026-01-12
62,UJ2024046,PLS1501,58.13,72.22,92.53,56.26,52.42,63.22,C+,2.5,2024-1,2026-01-12
63,UJ2024047,SOC2601,98.66,57.02,66.6,61.96,75.33,71.43,B+,3.5,2024-1,2026-01-12
64,UJ2024048,ARC2611,54.04,87.5,77.09,77.22,98.15,81.54,A,4.0,2024-1,2026-01-12
65,UJ2024049,LAW2611,51.3,71.95,55.67,87.13,99.48,78.46,A,4.0,2024-1,2026-01-12
66,UJ2024049,BIO1511,93.91,73.97,75.94,96.34,53.13,76.6,A,4.0,2024-1,2026-01-12
67,UJ2024049,BIO2611,76.39,59.44,93.71,99.64,84.31,84.63,A,4.0,2024-1,2026-01-12
68,UJ2024050,MAT1581,99.34,65.0,69.92,95.66,95.14,87.6,A,4.0,2024-1,2026-01-12
69,UJ2024050,LAW1511,90.87,65.39,62.44,67.38,88.11,76.08,A,4.0,2024-1,2026-01-12
70,UJ2024051,INF1511,93.84,63.57,52.42,79.51,90.01,78.36,A,4.0,2024-1,2026-01-12
71,UJ2024051,MAT1581,59.31,57.58,77.43,83.93,65.28,69.71,B,3.0,2024-1,2026-01-12
72,UJ2024052,LAW2611,74.3,80.8,87.26,56.12,53.23,66.35,B,3.0,2024-1,2026-01-12
73,UJ2024052,APM2611,78.37,97.36,83.62,51.56,96.76,80.82,A,4.0,2024-1,2026-01-12
74,UJ2024052,ENG1511,89.01,57.92,97.16,69.97,86.35,80.01,A,4.0,2024-1,2026-01-12
75,UJ2024052,BIO2611,53.89,50.81,89.2,59.6,59.04,61.7,C+,2.5,2024-1,2026-01-12
76,UJ2024053,CHE1511,51.98,53.8,82.97,66.76,57.46,62.24,C+,2.5,2024-1,2026-01-12
77,UJ2024053,ARC1511,54.45,75.27,90.24,81.77,57.66,70.73,B+,3.5,2024-1,2026-01-12
78,UJ2024053,COS2611,50.6,71.71,92.6,78.44,93.41,79.87,A,4.0,2024-1,2026-01-12
79,UJ2024053,PHY1513,64.19,77.97,88.09,85.32,82.32,80.56,A,4.0,2024-1,2026-01-12
80,UJ2024054,EKN224,77.35,76.72,98.32,59.26,74.11,74.91,B+,3.5,2024-1,2026-01-12
81,UJ2024054,ENG1511,96.3,98.23,94.27,59.45,70.09,79.21,A,4.0,2024-1,2026-01-12
82,UJ2024055,LAW2611,80.71,95.87,80.05,63.96,56.22,71.35,B+,3.5,2024-1,2026-01-12
83,UJ2024056,FAC2601,72.43,65.61,97.22,74.2,81.37,78.25,A,4.0,2024-1,2026-01-12
84,UJ2024056,EKN224,77.13,99.05,71.31,59.46,55.28,68.57,B,3.0,2024-1,2026-01-12
85,UJ2024056,ARC1511,50.08,56.31,73.48,60.93,98.16,71.66,B+,3.5,2024-1,2026-01-12
86,UJ2024057,PHY2611,53.5,70.73,54.04,88.32,89.67,75.72,A,4.0,2024-1,2026-01-12
87,UJ2024057,APM2611,79.26,66.1,97.13,73.32,66.77,74.73,B+,3.5,2024-1,2026-01-12
88,UJ2024058,INF1511,92.11,61.41,60.16,87.78,68.13,74.44,B+,3.5,2024-1,2026-01-12
89,UJ2024058,MNB1501,99.69,75.17,53.27,74.47,85.55,78.5,A,4.0,2024-1,2026-01-12
90,UJ2024059,LAW1511,99.76,82.34,62.71,71.94,66.66,74.7,B+,3.5,2024-1,2026-01-12
91,UJ2024060,PLS2601,99.08,87.91,60.99,65.36,72.63,75.33,A,4.0,2024-1,2026-01-12
92,UJ2024060,MAT1581,63.64,97.95,56.1,76.78,54.9,68.32,B,3.0,2024-1,2026-01-12
93,UJ2024060,MAT2681,61.94,54.49,82.58,54.48,52.94,59.35,C,2.0,2024-1,2026-01-12
94,UJ2024061,SOC2601,73.55,82.1,57.39,76.54,77.36,74.3,B+,3.5,2024-1,2026-01-12
95,UJ2024062,MNB2601,72.85,90.91,62.05,54.4,61.71,65.98,B,3.0,2024-1,2026-01-12
96,UJ2024063,ARC1511,75.35,88.62,92.16,88.38,93.1,88.44,A,4.0,2024-1,2026-01-12
97,UJ2024063,PHY1513,68.29,88.49,57.41,79.9,51.96,67.69,B,3.0,2024-1,2026-01-12
98,UJ2024064,MNB1501,71.46,68.53,89.54,79.82,70.26,75.46,A,4.0,2024-1,2026-01-12
99,UJ2024065,COS1511,84.93,72.75,99.76,96.96,72.86,84.71,A,4.0,2024-1,2026-01-12
100,UJ2024066,MNB1501,62.32,97.47,66.19,96.97,68.0,78.54,A,4.0,2024-1,2026-01-12
101,UJ2024066,BIO1511,62.64,85.79,81.11,67.22,90.7,78.45,A,4.0,2024-1,2026-01-12
102,UJ2024066,SOC2601,85.58,80.81,99.42,60.85,96.31,83.98,A,4.0,2024-1,2026-01-12
103,UJ2024068,MNB1501,77.13,58.59,94.61,86.97,83.72,81.41,A,4.0,2024-1,2026-01-12
104,UJ2024068,PLS2601,77.8,94.58,51.96,99.67,63.81,77.71,A,4.0,2024-1,2026-01-12
105,UJ2024069,INF2611,65.03,76.57,85.97,88.0,55.06,72.65,B+,3.5,2024-1,2026-01-12
106,UJ2024069,MNB2601,80.28,76.97,92.48,88.51,68.42,80.11,A,4.0,2024-1,2026-01-12
107,UJ2024070,EKN114,51.26,54.29,65.97,92.43,93.62,76.92,A,4.0,2024-1,2026-01-12
108,UJ2024070,NUR1511,60.51,67.45,55.75,59.61,56.07,59.28,C,2.0,2024-1,2026-01-12
109,UJ2024071,ART2611,99.5,64.36,59.63,79.25,94.43,81.66,A,4.0,2024-1,2026-01-12
110,UJ2024071,ART1511,88.2,60.24,94.38,96.52,61.86,79.11,A,4.0,2024-1,2026-01-12
111,UJ2024072,FAC1502,72.75,73.12,71.81,96.35,59.89,74.71,B+,3.5,2024-1,2026-01-12
112,UJ2024072,APM1513,59.59,75.29,53.28,82.03,83.93,73.91,B+,3.5,2024-1,2026-01-12
113,UJ2024073,COS2611,70.72,81.15,96.61,53.94,95.9,79.53,A,4.0,2024-1,2026-01-12
114,UJ2024074,FAC2601,99.94,99.46,71.03,51.66,79.37,77.29,A,4.0,2024-1,2026-01-12
115,UJ2024074,MAT2681,67.0,51.24,53.21,60.65,70.07,61.9,C+,2.5,2024-1,2026-01-12
116,UJ2024075,SOC1501,52.89,63.85,66.9,70.25,57.95,62.49,C+,2.5,2024-1,2026-01-12
117,UJ2024076,COS2611,76.67,50.75,59.56,77.33,51.86,62.94,C+,2.5,2024-1,2026-01-12
118,UJ2024076,FAC2601,84.67,65.94,89.03,71.0,61.26,72.07,B+,3.5,2024-1,2026-01-12
119,UJ2024077,FAC2601,67.16,93.68,53.37,86.84,60.47,71.98,B+,3.5,2024-1,2026-01-12
120,UJ2024077,ENG2611,80.0,62.39,85.4,76.51,99.14,83.04,A,4.0,2024-1,2026-01-12
121,UJ2024077,EKN224,76.05,95.9,52.22,60.97,84.23,74.14,B+,3.5,2024-1,2026-01-12
122,UJ2024078,APM2611,96.13,97.24,67.56,66.49,93.23,83.73,A,4.0,2024-1,2026-01-12
123,UJ2024078,ART2611,72.55,86.13,92.48,98.01,72.96,84.06,A,4.0,2024-1,2026-01-12
124,UJ2024078,NUR1511,78.82,68.83,92.61,95.9,89.6,86.89,A,4.0,2024-1,2026-01-12
125,UJ2024080,SOC2601,64.76,91.82,77.03,96.33,90.03,86.13,A,4.0,2024-1,2026-01-12
126,UJ2024080,CHE1511,86.0,95.19,73.32,79.79,51.85,73.68,B+,3.5,2024-1,2026-01-12
127,UJ2024080,ARC1511,78.14,67.57,69.36,74.26,66.15,70.67,B+,3.5,2024-1,2026-01-12
128,UJ2024080,BIO1511,51.54,94.17,75.48,67.92,99.79,80.1,A,4.0,2024-1,2026-01-12
129,UJ2024080,INF2611,55.66,74.2,55.23,80.55,77.31,71.09,B+,3.5,2024-1,2026-01-12
130,UJ2024081,CHE1511,93.79,69.72,93.1,61.37,88.11,80.27,A,4.0,2024-1,2026-01-12
131,UJ2024081,BIO2611,83.98,51.45,76.78,56.36,60.17,63.97,C+,2.5,2024-1,2026-01-12
132,UJ2024082,ARC2611,82.0,52.71,88.48,53.92,73.13,68.9,B,3.0,2024-1,2026-01-12
133,UJ2024083,NUR1511,61.09,56.68,53.35,87.32,83.26,72.48,B+,3.5,2024-1,2026-01-12
134,UJ2024083,FAC1502,92.22,92.12,90.53,68.13,78.21,81.73,A,4.0,2024-1,2026-01-12
135,UJ2024084,ARC2611,75.33,78.04,61.96,60.38,62.22,66.06,B,3.0,2024-1,2026-01-12
136,UJ2024084,MAT1581,76.51,75.64,83.46,62.89,84.91,76.54,A,4.0,2024-1,2026-01-12
137,UJ2024084,FAC1502,86.44,56.79,81.87,80.74,71.25,75.33,A,4.0,2024-1,2026-01-12
138,UJ2024085,FAC1502,51.18,89.95,77.22,90.05,53.52,71.32,B+,3.5,2024-1,2026-01-12
139,UJ2024085,BIO2611,85.56,85.27,81.28,93.61,76.63,84.21,A,4.0,2024-1,2026-01-12
140,UJ2024087,MAT1581,99.63,65.29,52.35,56.17,96.72,75.65,A,4.0,2024-1,2026-01-12
141,UJ2024087,NUR1511,91.41,92.62,65.67,84.48,79.99,82.57,A,4.0,2024-1,2026-01-12
142,UJ2024088,CHE2611,61.92,86.99,76.16,84.68,85.91,80.7,A,4.0,2024-1,2026-01-12
143,UJ2024089,PHY1513,62.49,79.13,52.0,84.06,54.0,66.26,B,3.0,2024-1,2026-01-12
144,UJ2024089,CHE1511,65.21,90.79,58.87,61.84,58.6,65.27,B,3.0,2024-1,2026-01-12
145,UJ2024090,LAW1511,63.7,86.45,91.79,61.86,86.52,77.71,A,4.0,2024-1,2026-01-12
146,UJ2024090,APM2611,52.46,81.83,97.21,68.37,82.22,76.48,A,4.0,2024-1,2026-01-12
147,UJ2024090,APM1513,79.65,85.96,98.3,71.53,84.25,82.74,A,4.0,2024-1,2026-01-12
148,UJ2024090,MNB2601,92.23,60.3,54.14,76.33,68.62,70.67,B+,3.5,2024-1,2026-01-12
149,UJ2024092,BIO1511,61.49,55.35,63.34,74.56,63.57,64.74,C+,2.5,2024-1,2026-01-12
150,UJ2024092,CHE2611,89.61,95.4,61.53,71.16,78.55,78.34,A,4.0,2024-1,2026-01-12
151,UJ2024093,ARC1511,94.88,63.62,89.77,79.87,51.09,72.53,B+,3.5,2024-1,2026-01-12
152,UJ2024094,ENG2611,84.3,68.24,76.7,81.84,99.78,84.78,A,4.0,2024-1,2026-01-12
153,UJ2024094,COS2611,86.6,85.62,99.81,89.44,73.5,85.21,A,4.0,2024-1,2026-01-12
154,UJ2024094,SOC2601,83.15,71.53,52.51,76.2,70.59,71.31,B+,3.5,2024-1,2026-01-12
155,UJ2024094,CHE1511,67.65,86.89,63.09,87.86,65.49,74.26,B+,3.5,2024-1,2026-01-12
156,UJ2024094,BIO2611,70.43,96.55,87.4,62.14,88.04,80.1,A,4.0,2024-1,2026-01-12
157,UJ2024096,ART2611,71.69,71.74,73.09,50.66,90.25,72.22,B+,3.5,2024-1,2026-01-12
158,UJ2024097,PLS2601,97.8,97.46,74.68,99.81,96.37,94.35,A,4.0,2024-1,2026-01-12
159,UJ2024097,NUR1511,79.44,77.54,98.72,50.13,55.75,67.61,B,3.0,2024-1,2026-01-12
160,UJ2024097,APM2611,84.04,97.08,56.39,82.06,95.82,84.89,A,4.0,2024-1,2026-01-12
161,UJ2024098,ARC1511,54.98,86.61,79.82,95.54,54.26,73.37,B+,3.5,2024-1,2026-01-12
162,UJ2024098,SOC2601,94.35,91.27,81.19,58.68,76.81,77.73,A,4.0,2024-1,2026-01-12
163,UJ2024099,COS2611,82.65,60.9,91.82,64.9,73.99,73.73,B+,3.5,2024-1,2026-01-12
164,UJ2024099,ART1511,85.17,50.82,51.06,71.2,97.11,74.99,B+,3.5,2024-1,2026-01-12
165,UJ2024100,NUR2611,53.01,92.03,95.59,55.53,76.33,72.88,B+,3.5,2024-1,2026-01-12
166,UJ2024101,ART2611,53.24,99.48,55.71,72.24,63.25,68.3,B,3.0,2024-1,2026-01-12
167,UJ2024102,COS1511,91.54,67.21,58.72,52.65,82.71,70.6,B+,3.5,2024-1,2026-01-12
168,UJ2024102,ART1511,73.31,84.73,53.01,70.87,98.43,78.9,A,4.0,2024-1,2026-01-12
169,UJ2024102,PLS2601,84.73,50.17,83.13,51.7,73.99,67.83,B,3.0,2024-1,2026-01-12
170,UJ2024103,ENG2611,64.19,92.09,50.1,85.36,55.44,68.93,B,3.0,2024-1,2026-01-12
171,UJ2024103,APM1513,62.51,74.38,53.34,67.66,75.67,68.15,B,3.0,2024-1,2026-01-12
172,UJ2024104,FAC2601,96.33,53.57,79.34,99.79,54.47,75.67,A,4.0,2024-1,2026-01-12
173,UJ2024108,FAC2601,98.83,99.46,55.59,60.38,76.9,76.25,A,4.0,2024-1,2026-01-12
174,UJ2024108,ART1511,68.93,96.93,82.33,70.73,55.75,71.64,B+,3.5,2024-1,2026-01-12
175,UJ2024108,PLS1501,82.89,52.68,65.89,65.57,76.79,69.65,B,3.0,2024-1,2026-01-12
176,UJ2024109,EKN224,66.79,65.28,67.56,75.34,56.69,65.79,B,3.0,2024-1,2026-01-12
177,UJ2024109,ENG2611,99.2,67.92,67.52,76.14,97.6,83.51,A,4.0,2024-1,2026-01-12
178,UJ2024110,PHY1513,91.5,66.9,75.66,51.54,71.81,69.54,B,3.0,2024-1,2026-01-12
179,UJ2024110,LAW2611,65.6,87.92,89.08,50.82,71.74,70.62,B+,3.5,2024-1,2026-01-12
180,UJ2024110,INF1511,88.16,51.99,59.35,57.49,51.05,59.61,C,2.0,2024-1,2026-01-12
181,UJ2024111,ART2611,87.75,93.93,97.67,61.39,83.18,82.2,A,4.0,2024-1,2026-01-12
182,UJ2024111,ART1511,86.25,50.73,66.9,87.22,63.59,71.46,B+,3.5,2024-1,2026-01-12
183,UJ2024111,FAC1502,68.94,56.86,65.19,99.27,50.14,68.51,B,3.0,2024-1,2026-01-12
184,UJ2024113,CHE2611,85.62,54.56,50.98,65.55,89.02,71.77,B+,3.5,2024-1,2026-01-12
185,UJ2024113,MNB1501,87.46,75.6,56.16,62.44,78.37,72.0,B+,3.5,2024-1,2026-01-12
186,UJ2024114,PLS2601,92.33,72.38,56.68,54.69,50.32,61.98,C+,2.5,2024-1,2026-01-12
187,UJ2024114,LAW2611,51.88,65.31,51.41,66.1,58.32,59.31,C,2.0,2024-1,2026-01-12
188,UJ2024114,INF2611,55.67,75.69,80.69,73.7,97.96,79.62,A,4.0,2024-1,2026-01-12
189,UJ2024115,APM1513,63.22,64.44,57.56,97.82,73.88,74.4,B+,3.5,2024-1,2026-01-12
190,UJ2024115,LAW2611,56.62,74.58,51.88,71.19,85.14,70.8,B+,3.5,2024-1,2026-01-12
191,UJ2024115,ENG1511,79.33,85.93,60.28,85.03,57.01,72.19,B+,3.5,2024-1,2026-01-12
192,UJ2024116,APM2611,65.56,80.09,73.14,79.41,71.04,73.98,B+,3.5,2024-1,2026-01-12
193,UJ2024116,MNB1501,89.92,60.68,80.04,72.44,58.94,70.39,B+,3.5,2024-1,2026-01-12
194,UJ2024116,EKN224,64.22,69.9,67.08,87.05,61.73,70.46,B+,3.5,2024-1,2026-01-12
195,UJ2024116,INF1511,76.83,61.96,81.54,75.11,94.15,80.07,A,4.0,2024-1,2026-01-12
196,UJ2024117,MAT1581,73.1,89.83,64.47,98.94,81.29,83.23,A,4.0,2024-1,2026-01-12
197,UJ2024117,MNB2601,70.98,69.99,79.24,76.27,55.89,68.87,B,3.0,2024-1,2026-01-12
198,UJ2024118,ARC1511,52.86,54.22,57.03,84.96,87.51,72.11,B+,3.5,2024-1,2026-01-12
199,UJ2024119,FAC2601,50.1,94.25,99.17,79.23,93.8,84.48,A,4.0,2024-1,2026-01-12
200,UJ2024119,ART1511,92.72,94.39,72.81,98.16,83.44,88.56,A,4.0,2024-1,2026-01-12
201,UJ2024121,CHE1511,96.09,68.29,51.17,95.19,52.42,71.86,B+,3.5,2024-1,2026-01-12
202,UJ2024121,ART2611,64.41,62.97,67.22,95.96,79.9,77.15,A,4.0,2024-1,2026-01-12
203,UJ2024121,FAC2601,96.18,72.9,78.75,95.11,72.47,82.69,A,4.0,2024-1,2026-01-12
204,UJ2024122,MNB2601,58.82,94.66,58.93,79.29,71.83,73.23,B+,3.5,2024-1,2026-01-12
205,UJ2024123,ENG2611,54.93,54.03,92.76,86.09,91.56,79.25,A,4.0,2024-1,2026-01-12
206,UJ2024123,LAW1511,75.55,61.99,88.26,82.5,50.45,69.63,B,3.0,2024-1,2026-01-12
207,UJ2024123,NUR2611,90.66,58.03,55.08,64.89,97.33,75.99,A,4.0,2024-1,2026-01-12
208,UJ2024123,ART2611,96.9,82.96,67.94,59.79,86.79,78.15,A,4.0,2024-1,2026-01-12
209,UJ2024124,MAT1581,64.15,80.81,51.78,67.57,53.84,62.56,C+,2.5,2024-1,2026-01-12
210,UJ2024125,EKN224,58.91,51.13,83.75,54.65,91.34,70.13,B+,3.5,2024-1,2026-01-12
211,UJ2024125,BIO2611,71.98,95.3,53.1,92.47,55.44,72.81,B+,3.5,2024-1,2026-01-12
212,UJ2024125,ENG2611,89.52,60.11,93.38,52.8,96.31,78.54,A,4.0,2024-1,2026-01-12
213,UJ2024126,ENG1511,67.67,93.13,66.84,95.76,57.4,75.31,A,4.0,2024-1,2026-01-12
214,UJ2024127,PLS1501,93.5,97.78,88.26,94.81,77.31,88.83,A,4.0,2024-1,2026-01-12
215,UJ2024127,LAW2611,63.1,96.64,54.44,73.43,88.14,76.93,A,4.0,2024-1,2026-01-12
216,UJ2024127,NUR2611,88.52,67.78,73.9,64.55,99.46,80.51,A,4.0,2024-1,2026-01-12
217,UJ2024129,LAW2611,76.53,93.5,87.7,54.48,85.81,78.02,A,4.0,2024-1,2026-01-12
218,UJ2024129,PHY2611,58.66,62.0,84.46,62.78,51.94,62.04,C+,2.5,2024-1,2026-01-12
219,UJ2024130,ART1511,51.31,82.31,63.97,50.87,81.48,66.8,B,3.0,2024-1,2026-01-12
220,UJ2024131,CHE2611,67.43,72.68,83.69,61.66,73.83,71.13,B+,3.5,2024-1,2026-01-12
221,UJ2024132,APM2611,71.22,66.86,57.05,62.49,56.3,61.78,C+,2.5,2024-1,2026-01-12
222,UJ2024132,ART1511,86.64,95.5,51.72,87.46,99.06,86.66,A,4.0,2024-1,2026-01-12
223,UJ2024133,ARC1511,81.64,90.24,57.53,59.46,55.31,65.87,B,3.0,2024-1,2026-01-12
224,UJ2024135,APM2611,81.85,94.36,71.37,93.17,53.78,76.56,A,4.0,2024-1,2026-01-12
225,UJ2024136,MNB1501,64.63,76.97,59.87,65.65,85.77,72.36,B+,3.5,2024-1,2026-01-12
226,UJ2024137,CHE1511,61.07,50.65,67.64,92.26,94.35,78.27,A,4.0,2024-1,2026-01-12
227,UJ2024137,MAT2681,93.48,91.44,98.57,74.91,51.22,76.62,A,4.0,2024-1,2026-01-12
228,UJ2024138,APM2611,83.07,75.57,88.23,84.52,69.61,79.04,A,4.0,2024-1,2026-01-12
229,UJ2024138,LAW2611,85.25,80.05,74.91,97.06,70.45,81.43,A,4.0,2024-1,2026-01-12
230,UJ2024138,COS2611,63.05,53.18,52.77,86.78,58.18,64.5,C+,2.5,2024-1,2026-01-12
231,UJ2024139,CHE2611,59.93,83.22,96.89,99.34,86.42,86.77,A,4.0,2024-1,2026-01-12
232,UJ2024140,BIO1511,94.18,83.68,66.68,75.89,79.75,79.58,A,4.0,2024-1,2026-01-12
233,UJ2024140,BIO2611,94.03,79.03,71.12,79.39,94.23,84.74,A,4.0,2024-1,2026-01-12
234,UJ2024142,APM1513,96.17,90.57,75.21,97.77,63.84,82.89,A,4.0,2024-1,2026-01-12
235,UJ2024142,INF2611,77.99,73.93,62.74,72.21,78.0,73.65,B+,3.5,2024-1,2026-01-12
236,UJ2024142,FAC1502,62.39,56.63,70.01,91.65,84.86,76.72,A,4.0,2024-1,2026-01-12
237,UJ2024143,BIO1511,77.67,76.38,95.29,74.06,70.8,77.16,A,4.0,2024-1,2026-01-12
238,UJ2024143,ARC2611,60.09,71.43,98.92,83.75,55.34,72.11,B+,3.5,2024-1,2026-01-12
239,UJ2024143,NUR1511,66.92,69.77,92.92,91.78,56.66,74.38,B+,3.5,2024-1,2026-01-12
240,UJ2024144,NUR2611,54.42,54.84,71.2,71.28,95.74,73.61,B+,3.5,2024-1,2026-01-12
241,UJ2024145,COS2611,74.25,68.32,50.58,75.46,84.3,73.13,B+,3.5,2024-1,2026-01-12
242,UJ2024146,MAT1581,99.3,88.4,85.33,68.72,72.33,79.83,A,4.0,2024-1,2026-01-12
243,UJ2024147,MNB1501,73.36,80.51,66.46,61.78,93.45,76.53,A,4.0,2024-1,2026-01-12
